sim,method,psi1_mean,psi1_var,psi2_mean,psi2_var
12,qfal,0.9393544633165538,2.135163942058061e-4,-0.5218552377428951,8.435489819205325e-4
12,super,0.9677984352242657,1.1738561217410842e-4,-0.5095887713973695,2.301000351698438e-4
12,true,0.9364103469872613,1.2382103239782455e-4,-0.502350282843704,2.523073828232659e-4
13,bfal,0.860511641501575,2.5199036714210925e-4,-0.4886481917531688,0.0010834919694211339
13,gfal,0.9203755421014159,1.2887500868439438e-4,-0.48176908349117076,2.59434400344472e-4
13,qfal,0.9179406167466309,2.2234015026585717e-4,-0.5499973997006031,8.657955948188658e-4
13,super,0.9342559101947986,1.2360960397393613e-4,-0.5516546313101818,2.418106438109251e-4
13,true,0.9202786866651091,1.2933810183485544e-4,-0.5455495129540071,2.57224077314578e-4
14,bfal,0.8478627660239723,2.5420929362804156e-4,-0.380601214193275,0.0011068566127758821
14,gfal,0.9132461671639294,1.2614357409089857e-4,-0.4222027669965233,2.569991323314794e-4
14,qfal,0.9124599786318187,2.209853426091128e-4,-0.4825467627449377,8.835419934389534e-4
14,super,0.9387042707763064,1.1943605115856793e-4,-0.4939464210188508,2.2576020459896413e-4
14,true,0.9132396198077959,1.2661000464269883e-4,-0.48619088965973145,2.52520103727853e-4
15,bfal,0.8665195576192114,2.496493764006883e-4,-0.44463410424128585,0.0010862236571424805
15,gfal,0.9202942321880332,1.2774742808958138e-4,-0.44830964675139684,2.5128905221130475e-4
15,qfal,0.922476882950294,2.2113617034575422e-4,-0.5099301257465236,8.767020686482363e-4
15,super,0.9636092454821311,1.2160959287384157e-4,-0.4681417524687305,6.220932964063813e-4
15,true,0.9206930866357852,1.2820885391374203e-4,-0.5086640803455276,2.490614052585606e-4
16,bfal,0.8538055969901953,2.525465327987006e-4,-0.4375265781592405,0.0010865374980723401
16,gfal,0.9143208380292239,1.2185408094530203e-4,-0.4451491642044715,2.5376568242690755e-4
16,qfal,0.9126716392526343,2.2043974826393357e-4,-0.5056745269712865,8.719362665297128e-4
16,super,0.9435255724188378,1.1624037253745698e-4,-0.5386873098270576,2.2317194867731103e-4
16,true,0.9137289389169894,1.2251631860794743e-4,-0.5059423314767303,2.496383423415121e-4
17,bfal,0.8741778914992391,2.5486060188457206e-4,-0.4576407409682731,0.0010830273838895164
17,gfal,0.9345328147556071,1.2874523842902727e-4,-0.4656446840592455,2.528580363800452e-4
17,qfal,0.9376774597372481,2.2192739269793503e-4,-0.5245166625010211,8.580689295128848e-4
17,super,0.9778967694914928,1.2179666963279318e-4,-0.5439831392336452,2.2589844200287325e-4
17,true,0.9339521806558788,1.2910116592006876e-4,-0.5316561543290638,2.489567539115133e-4
18,bfal,0.849456994110504,2.5985303167050795e-4,-0.3969213012825187,0.0010777454913829683
18,gfal,0.9106435651490029,1.276225589381195e-4,-0.4297425581401643,2.678884400648406e-4
18,qfal,0.9078815340820408,2.2829328315079748e-4,-0.4774512714258886,8.691806169085878e-4
18,super,0.9505508005577791,1.2148219779835934e-4,-0.48752565206456716,2.3834493441524544e-4
18,true,0.9106264987007016,1.2815170967620307e-4,-0.4902176468017169,2.627783025378512e-4
19,bfal,0.8748765135630073,2.607352343902152e-4,-0.4197227038852522,0.0010893928426286708
19,gfal,0.9358786225810818,1.2693154332499586e-4,-0.43208543023494106,2.635528528513245e-4
19,qfal,0.9358221967684465,2.2752310985586668e-4,-0.500100825913798,8.771075276294944e-4
19,super,0.988041623996709,1.2042762024026807e-4,-0.5466777673375204,2.2647051028051664e-4
19,true,0.9352785655505779,1.271392785264515e-4,-0.49430942508867426,2.5918952418785366e-4
20,bfal,0.8466828801401277,2.6092645185793846e-4,-0.40968003977216105,0.001133568849931587
20,gfal,0.914200507170916,1.2628323085675413e-4,-0.44038797106756455,2.5826765934945336e-4
20,qfal,0.9150038082924231,2.239066038123215e-4,-0.5146716680427315,8.865214759667191e-4
20,super,0.9758038303672605,1.1959470910003191e-4,-0.49042443888174847,2.281447100587588e-4
20,true,0.9133744163540904,1.267665813063777e-4,-0.5073911609783791,2.5321172179509406e-4
21,bfal,0.8655699313444147,2.5872217902813983e-4,-0.4067176686781325,0.0011080473130731388
21,gfal,0.928980303058914,1.267067369523513e-4,-0.40958113228339155,2.631244090408452e-4
21,qfal,0.9286178910586427,2.253773117486919e-4,-0.48816387386801163,8.990720033008966e-4
21,super,0.9844018625749117,1.1998866156892339e-4,-0.4684745790405074,0.0010605756373939068
21,true,0.9284752551583167,1.2733257296943762e-4,-0.4753296682180216,2.5922544754005826e-4
22,bfal,0.9021140874114878,2.4497924410191076e-4,-0.45553212236937385,0.0010841421168140916
22,gfal,0.9517925510040129,1.2578855068402962e-4,-0.4631234157929659,2.529597758882435e-4
22,qfal,0.9542264064253809,2.1724857290119113e-4,-0.52449913758333,8.786476351641338e-4
22,super,1.0041998348238386,1.2153211336259191e-4,-0.5193721696028298,2.2085124376119584e-4
22,true,0.9521586877563616,1.2619618939006485e-4,-0.523579373387785,2.497408992133156e-4
23,bfal,0.8595032060547861,2.512209310578096e-4,-0.4029465653014031,0.0010674811646142496
23,gfal,0.9214533301523237,1.25930741613024e-4,-0.43555717921644765,2.5717616416481176e-4
23,qfal,0.9194789586676382,2.2074055429908924e-4,-0.48660177596848914,8.621656826130989e-4
23,super,0.9444079046687488,1.193319458835052e-4,-0.5136720808067509,2.2383205065911173e-4
23,true,0.9214046451284705,1.262053971485392e-4,-0.49757288934880695,2.532106346188335e-4
24,bfal,0.865102975958909,2.555462912931457e-4,-0.45663654385580743,0.0010661486819313665
24,gfal,0.924421194496886,1.224965087422955e-4,-0.46018130833098,2.555986349068721e-4
24,qfal,0.9231962015287586,0.00022379804113209173,-0.5152378113375097,8.579925966017974e-4
24,super,0.9720162582289338,1.1550364328790598e-4,-0.49228755998635065,2.2145302839955515e-4
24,true,0.9243530752372611,1.226516766866762e-4,-0.5232329426134829,2.502890303530465e-4
25,bfal,0.8717660226339077,2.483014560304149e-4,-0.38909224422653155,0.0010904909440497435
25,gfal,0.9280186274304315,1.2455106450171523e-4,-0.408388273143469,2.5655895586107475e-4
25,qfal,0.9280548188466593,2.181534771313159e-4,-0.47520087643343745,8.828116098056318e-4
25,super,0.938125459503077,1.1657192224122399e-4,-0.4843262685068753,2.215219108064156e-4
25,true,0.9277498003242259,1.2484998786105883e-4,-0.46886002332325405,2.5123413014862476e-4
